OBJECTID,PlantNum,StemNum,Species,SpeciesType,SpType2,HeightClass,BDClass,PlotIdentity,PlotNum,PlotSp.Rich,UnderstorySp.Rich,OverstorySp.Rich,L1,L1DamType,L2,L2DamType,L3,L3DamType,L4,L4DamType,L5,L5DamType,AvgDamage,AvgDamageType,Xcoord,Ycoord,PlotSpRich
11,219,1,frape,1,1,1,1,9,4,8,5,3,60,1,70,1,0,0,0,0,0,0,26,0.4,471337.5885,93112.8812,
203,93,1,fraam,1,1,1,1,9,4,8,5,3,5,2,5,1,0,0,0,0,0,0,2,0.6,471338.3815,93113.5329,
86,825,1,hamvi,3,3,1,1,9,4,8,5,3,1,1,1,1,0,0,0,0,0,0,0.4,0.4,471337.6873,93114.7848,
233,930,1,fraam,1,1,1,1,9,4,8,5,3,5,1,1,1,0,0,0,0,0,0,1.2,0.4,471337.3249,93112.6114,
245,941,1,fraam,1,1,1,1,9,4,8,5,3,1,1,1,1,1,1,5,1,0,0,1.6,0.8,471345.7218,93107.1947,
383,1818,1,acepe,3,3,1,1,9,4,8,5,3,1,1,1,1,0,0,2.5,1,0,0,0.9,0.6,471339.953,93107.7937,
810,2019,1,vacco,3,3,1,1,9,4,8,5,3,5,1,5,1,0,0,0,0,0,0,2,0.4,471343.935,93098.6306,
790,201,4,hamvi,3,3,1,1,9,4,8,5,3,1,1,0,0,1,1,0,0,1,1,0.6,0.6,471341.1926,93110.4551,
578,2814,1,linbe,3,3,1,1,9,4,8,5,3,10,1,10,1,0,0,0,0,0,0,4,0.4,471343.4922,93110.9811,
316,111,4,hamvi,3,3,1,1,9,4,8,5,3,1,2,1,2,5,2,0,0,0,0,1.4,1.2,471338.4647,93110.1145,
356,181,2,hamvi,3,3,1,1,9,4,8,5,3,5,2,25,2,0,0,1,2,1,2,6.4,1.6,471338.5275,93110.5406,
244,940,1,fraam,1,1,1,1,9,4,8,5,3,1,2,1,1,1,1,1,1,0,0,0.8,1,471343.7762,93106.4313,
104,838,1,fraam,1,1,1,1,9,4,8,5,3,1,1,1,1,30,1,0,0,0,0,6.4,0.6,471347.2806,93110.6786,
591,2818,1,linbe,3,3,1,1,9,4,8,5,3,5,1,1,1,1,1,5,1,0,0,2.4,0.8,471338.7902,93109.4946,
225,924,1,fraam,1,1,1,1,9,4,8,5,3,0,0,5,1,0,0,10,1,0,0,3,0.4,471342.7517,93106.6314,
355,181,1,hamvi,3,3,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471342.3184,93109.5139,
1275,178,1,ulmam,1,1,1,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471345.2034,93096.2389,
206,96,1,fraam,1,1,1,2,9,4,8,5,3,20,1,80,1,10,1,5,1,1,1,23.2,1,471346.7235,93103.937,
811,2020,1,vacco,3,3,1,2,9,4,8,5,3,10,1,20,1,5,1,0,0,0,0,7,0.6,471343.7378,93121.5391,
157,2919,1,linbe,3,3,2,1,9,4,8,5,3,1,2,1,2,1,2,0,0,0,0,0.6,1.2,471348.5346,93109.7563,
592,2819,1,linbe,3,3,2,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471347.8533,93109.8738,
571,2811,5,linbe,3,3,2,1,9,4,8,5,3,1,2,1,1,0,0,0,0,0,0,0.4,0.6,471342.1062,93113.1038,
572,2812,1,linbe,3,3,2,1,9,4,8,5,3,50,1,0,0,0,0,0,0,0,0,10,0.2,471340.8799,93112.5856,
303,9101,1,linbe,3,3,2,1,9,4,8,5,3,1,1,0,0,5,1,0,0,0,0,1.2,0.4,471348.0233,93111.8093,
604,191,1,hamvi,3,3,2,1,9,4,8,5,3,1,2,0,0,0,0,0,0,1,2,0.4,0.8,471340.7429,93113.173,
586,2816,2,linbe,3,3,2,1,9,4,8,5,3,10,2,5,2,30,2,0,0,0,0,9,1.2,471344.1379,93111.1324,
582,2815,2,linbe,3,3,2,1,9,4,8,5,3,1,2,0,0,0,0,0,0,0,0,0.2,0.4,471345.117,93108.5694,
60,81,4,hamvi,3,3,2,1,9,4,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,471344.2675,93109.4,
685,1319,1,vacco,3,3,2,1,9,4,8,5,3,5,1,0,0,5,2,10,1,60,2,16,1.2,471342.4967,93129.4313,
575,2813,1,linbe,3,3,2,1,9,4,8,5,3,5,2,50,2,0,0,0,0,60,2,23,1.2,471344.3177,93117.0659,
259,955,1,fraam,1,1,2,1,9,4,8,5,3,1,1,0,0,0,0,70,2,1,2,14.4,1,471345.2744,93102.331,
67,88,1,hamvi,3,3,2,1,9,4,8,5,3,10,2,10,2,0,0,1,2,0,0,4.2,1.2,471331.9136,93117.8926,
